,citation,clustering_coeffs,degree_centrality,betweenness_centrality,gatekeepres,populars,embeddeds,colab_w_g,colab_w_p,colab_w_em
57215003535,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57215002464,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,1
57215001478,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57215001471,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57215001345,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,1
57215001107,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57215000509,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57215000429,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57215000372,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,0
57214999773,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,0
57214999183,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214998279,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214998277,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214998078,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214997082,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57214997028,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214996921,1.0,0.0,0.0,0.0,0,0,0,0,0,0
57214996115,0.0,0.0,0.0,0.0,0,0,0,0,0,0
57214995625,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,0
57214995171,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,0
57214994010,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214993715,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214992239,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,1,0,1
57214991825,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57214990707,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214990017,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,1,0,0
57214989786,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57214988423,4.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,0
57214987302,2.0,0.46153846153846156,0.00019435764797344775,1.5677933554978305e-06,1,0,0,1,0,1
57214986512,19.0,0.9219183034100494,0.0057858776742864835,7.796680315870055e-07,1,1,0,1,1,1
57214985811,4.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,0
57214984832,1.0,1.0,0.0001644564713621481,0.0,0,0,0,0,0,1
57214982621,5.0,1.0,0.001300701182591535,0.0,0,1,0,0,1,1
57214982620,2.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214981823,1.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,1
57214981155,0.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214979539,13.0,0.9996117258784702,0.0015249600071762825,8.94093729967397e-12,0,1,0,1,1,0
57214977341,0.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,1
57214976309,2.0,1.0,0.000343863531029946,0.0,0,1,0,0,1,1
57214976030,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214974405,1.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214973387,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214972650,2.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214971189,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214970376,1.0,1.0,0.0001644564713621481,0.0,0,0,0,0,0,1
57214970339,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214969184,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214968308,0.0,1.0,0.00014950588305649828,0.0,0,0,0,1,0,0
57214967798,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214967692,0.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214966414,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214966318,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214966182,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214965966,0.0,1.0,0.00013455529475084845,0.0,0,0,0,0,0,0
57214961754,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214961035,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214960923,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214960837,1.0,1.0,0.0001644564713621481,0.0,0,0,0,0,0,1
57214960508,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,1
57214960187,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,0
57214960186,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,0
57214960137,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214960056,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214959368,1.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,1
57214959346,1.0,1.0,0.00017940705966779794,0.0,0,0,0,0,0,1
57214959189,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214954257,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214954085,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214953973,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214953883,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57214953111,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214952503,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,0
57214950990,1.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214950933,1.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214950829,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,0
57214950554,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,1
57214950536,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214950260,1.0,1.0,0.00014950588305649828,0.0,0,0,0,0,0,0
57214949602,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214948753,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214948552,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57214947449,1.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214947255,1.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214946677,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214946619,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,1
57214946579,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,1
57214944628,3.0,1.0,0.0001046541181395488,0.0,0,0,0,1,0,0
57214944406,3.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214944399,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214944064,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,0
57214943584,8.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214943066,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214943017,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214942816,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,1,0,0
57214941601,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214940878,1.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,1
57214939101,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214939027,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214937700,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214933440,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57214932344,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214929071,2.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214926659,0.0,1.0,0.00013455529475084845,0.0,0,0,0,0,0,1
57214921934,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214921691,1.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214921420,3.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,0
57214921386,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214921087,1.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214920802,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214920550,2.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,0
57214920548,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,0,0
57214920545,2.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214920534,0.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214920158,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214920035,1.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214919543,7.0,1.0,0.001390404712425434,0.0,0,1,0,1,1,1
57214919168,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214919075,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,1,1
57214918845,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57214918767,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214918618,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214918020,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,0
57214917974,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214916768,0.0,1.0,0.00013455529475084845,0.0,0,0,0,0,0,0
57214915884,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,0
57214914407,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,0
57214908791,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214908356,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214908198,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214906937,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214905517,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214905509,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214905366,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214905333,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214905307,0.0,1.0,0.00014950588305649828,0.0,0,0,0,0,0,1
57214904884,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214904828,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214904782,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214904761,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,1
57214904722,1.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,1
57214904321,2.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,1
57214902384,2.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214902096,0.0,1.0,0.00013455529475084845,0.0,0,0,0,0,0,1
57214901708,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,1
57214901695,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214901324,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,1
57214900154,0.0,1.0,0.00013455529475084845,0.0,0,0,0,0,0,0
57214899293,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214898238,1.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214895878,1.0,1.0,0.0016744658902327807,0.0,0,1,0,0,1,1
57214894926,1.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214893227,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,1
57214889820,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214885734,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,1
57214884238,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214884204,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214883069,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,1
57214876908,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,0
57214876534,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214876248,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214875608,1.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,0
57214875480,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,1,0
57214875442,0.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214875190,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214875185,0.0,0.4,8.970352983389897e-05,1.0729124759608764e-08,1,0,0,1,0,0
57214874987,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,0
57214873744,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,1
57214866863,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214864430,3.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,0
57214863019,1.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,0
57214862754,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214862749,2.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,0
57214862536,0.0,1.0,0.00014950588305649828,0.0,0,0,0,0,0,0
57214860344,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,1
57214859951,0.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214859830,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214859493,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214858804,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214854479,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214851365,3.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,0,0
57214851034,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214851027,1.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214850994,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,0
57214850905,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,0
57214848948,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214848662,1.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,0
57214848659,1.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214848656,0.0,1.0,0.005128051788837891,0.0,0,1,0,0,1,0
57214848575,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214848175,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214847814,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,1
57214847727,0.0,0.0,0.0,0.0,0,0,0,0,0,0
57214847493,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214846855,1.0,1.0,0.0001644564713621481,0.0,0,0,0,0,0,0
57214845947,1.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214845073,2.0,1.0,0.0015997129487045315,0.0,0,1,0,1,1,1
57214845040,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214844398,3.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214842161,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214841511,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57214840854,4.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,1
57214840527,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,1
57214840519,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214840429,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,1
57214839261,0.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214835184,3.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214833094,1.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214833043,0.0,0.0,0.0,0.0,0,0,0,0,0,0
57214832545,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,1
57214832264,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214831873,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214831359,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,1,0
57214831354,0.0,1.0,0.00014950588305649828,0.0,0,0,0,0,0,1
57214830252,9.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,1
57214830182,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,0
57214829674,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214829436,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,0,1
57214828400,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214823955,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,1
57214820403,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214819331,3.0,1.0,0.00013455529475084845,0.0,0,0,0,1,1,1
57214817528,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214817174,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,0,0
57214816934,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214815733,3.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,1
57214815261,0.0,1.0,0.0003289129427242962,0.0,0,1,0,1,1,1
57214810225,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,0
57214809744,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,0
57214808331,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214806380,0.0,1.0,0.0001046541181395488,0.0,0,0,0,1,0,0
57214806118,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214804730,1.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57214801584,7.0,1.0,0.0010166400047841883,0.0,0,1,0,1,1,1
57214801357,0.0,1.0,0.0001046541181395488,0.0,0,0,0,1,0,0
57214798211,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214793565,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,0
57214793356,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214791010,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,0
57214790217,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214788747,2.0,1.0,2.9901176611299655e-05,0.0,0,0,0,1,0,0
57214788018,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214787770,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214786977,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,1,0,0
57214786790,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,1,0,0
57214786729,0.0,1.0,0.00011960470644519862,0.0,0,0,0,0,0,0
57214786023,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214785598,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214785021,1.0,1.0,0.0002541600011960471,0.0,0,0,0,1,1,0
57214784917,0.0,1.0,0.00013455529475084845,0.0,0,0,0,1,0,0
57214784852,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,0,0
57214784778,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,0,0
57214784703,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,1,0,0
57214784502,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214783867,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214783593,0.0,0.8333333333333334,5.980235322259931e-05,1.4901562166123282e-10,0,0,0,0,0,0
57214782966,0.0,1.0,0.00023920941289039724,0.0,0,0,0,0,0,1
57214782644,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,1
57214782419,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214782327,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,1
57214782295,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214782020,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214781369,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214781319,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214781252,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214780581,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214780147,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214779722,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214779713,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214779315,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214779234,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214778894,1.0,1.0,0.00014950588305649828,0.0,0,0,0,0,0,1
57214778848,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214777961,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214777640,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214777115,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214773768,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214773489,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214773397,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214773129,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214772601,1.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214771879,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214771728,3.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214771458,7.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214770483,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,1,0,0
57214770403,3.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214768380,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214768061,1.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214766800,7.0,0.6666666666666666,4.4851764916949484e-05,2.2352343249184923e-10,0,0,0,0,0,0
57214766426,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214765342,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57214764833,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214761003,3.0,1.0,0.0001046541181395488,0.0,0,0,0,1,0,0
57214760148,0.0,1.0,0.0002093082362790976,0.0,0,0,0,1,0,0
57214756917,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57214755326,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57214754198,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57214752980,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214751076,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57214750526,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57214748414,2.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,1
57214748126,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57214747870,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57214747775,1.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,1
57214746807,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214743977,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214734620,1.0,1.0,0.0002840611778073467,0.0,0,0,0,0,0,1
57214734068,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57214734056,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57214733237,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214729373,6.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57214724781,1.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214724693,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,1
57214723967,1.0,1.0,0.0001644564713621481,0.0,0,0,0,0,0,0
57214720315,0.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57214716207,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
